2019/06/06 07:35:18 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:21 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:25 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:28 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:31 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:34 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:39 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:46 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:36:01 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:36:28 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:37:36 [error] 6#6: *4 directory index of "/usr/share/nginx/html/" is forbidden, client: 192.168.166.3, server: localhost, request: "GET / HTTP/1.0", host: "test"
2019/06/06 07:37:36 [error] 6#6: *6 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.166.3, server: localhost, request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://192.168.166.2:9000", host: "test", referrer: "http://127.0.0.1/"
2019/06/06 07:37:37 [error] 6#6: *9 directory index of "/usr/share/nginx/html/" is forbidden, client: 192.168.166.3, server: localhost, request: "GET / HTTP/1.0", host: "test"
2019/06/06 07:38:30 [error] 9#9: *4 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.166.3, server: localhost, request: "GET / HTTP/1.0", upstream: "fastcgi://192.168.166.2:9000", host: "test"
2019/06/06 07:38:30 [error] 9#9: *7 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.166.3, server: localhost, request: "GET / HTTP/1.0", upstream: "fastcgi://192.168.166.2:9000", host: "test"
2019/06/06 07:38:31 [error] 9#9: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.166.3, server: localhost, request: "GET / HTTP/1.0", upstream: "fastcgi://192.168.166.2:9000", host: "test"
2019/06/06 07:39:34 [error] 6#6: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.166.2:9000", host: "127.0.0.1"
2019/06/06 07:39:36 [error] 6#6: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.166.2:9000", host: "127.0.0.1"
2019/06/06 07:39:36 [error] 6#6: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.166.2:9000", host: "127.0.0.1"
2019/06/06 07:39:44 [error] 6#6: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://192.168.166.2:9000", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 7#7: *18593 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18467 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18467 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18476 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18476 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18474 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
